                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71425,                  1.005,                 1.2311,                0.91005,                0.87471,                0.94791,                0.78005,                0.83127,                 0.6119,                 1.4014,               0.003268,               0.003268,               0.003268
                     36,                0.73594,                0.99596,                 1.2294,                0.90274,                0.90779,                0.95791,                0.78836,                 0.7882,                0.57965,                  1.324,                0.00307,                0.00307,                0.00307
                     37,                0.69835,                0.93026,                 1.2032,                0.91242,                0.85126,                0.93815,                0.74756,                0.91159,                0.66356,                 1.4849,               0.002872,               0.002872,               0.002872
                     38,                 0.6744,                0.91016,                 1.1982,                0.90847,                0.88597,                0.95001,                0.77155,                0.82953,                0.59897,                 1.4194,               0.002674,               0.002674,               0.002674
                     39,                0.69857,                0.94459,                 1.2085,                0.92522,                0.88304,                0.95178,                0.78467,                0.81727,                0.56462,                 1.4117,               0.002476,               0.002476,               0.002476
                     40,                0.51936,                0.50545,                 1.1582,                0.91913,                0.88734,                0.95492,                0.77989,                0.84467,                0.57084,                 1.4496,               0.002278,               0.002278,               0.002278
                     41,                 0.5025,                0.45314,                 1.1334,                0.91972,                0.87797,                0.95667,                0.78012,                0.83676,                0.53143,                 1.4006,                0.00208,                0.00208,                0.00208
                     42,                0.48251,                0.42631,                  1.127,                0.90103,                0.90076,                0.96097,                0.79511,                0.78618,                0.54401,                 1.3803,               0.001882,               0.001882,               0.001882
                     43,                 0.4751,                0.40594,                 1.1172,                0.92018,                0.89011,                0.96641,                0.78572,                0.85998,                0.54758,                 1.4498,               0.001684,               0.001684,               0.001684
                     44,                0.47114,                0.40197,                 1.1137,                0.90823,                0.88792,                0.95902,                0.77667,                0.86683,                0.54538,                 1.4748,               0.001486,               0.001486,               0.001486
                     45,                0.45877,                0.36586,                 1.1007,                0.90841,                0.91619,                0.95847,                0.78656,                0.84532,                0.53987,                 1.4476,               0.001288,               0.001288,               0.001288
                     46,                0.44682,                0.34094,                 1.0832,                0.92896,                0.92431,                0.95684,                0.79308,                0.79732,                0.49389,                 1.3773,                0.00109,                0.00109,                0.00109
                     47,                0.44486,                0.32794,                 1.0771,                0.94098,                 0.8859,                0.95449,                0.78313,                0.82207,                0.49675,                 1.4151,               0.000892,               0.000892,               0.000892
                     48,                0.43119,                0.32513,                 1.0915,                0.91074,                0.91139,                0.95277,                0.78284,                0.83693,                0.51304,                 1.4169,               0.000694,               0.000694,               0.000694
                     49,                0.42817,                0.31787,                 1.0634,                 0.9243,                0.89966,                0.95564,                0.78844,                 0.8279,                0.48929,                 1.4354,               0.000496,               0.000496,               0.000496
